t,id,costs,returns,profit,hlb_severity,strategy_names, strategy_params, experiment_id
1,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
1,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
2,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
3,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
